;AmpDrag;PicoDrag;Voltaje;Velocidad;Re;Drag;St;CD;Espesor;Largo;Lift;CL;St Lift;St Drag;AmpLift;PicoLift;Espesores;Inercia;Masa x unidad de area;Young;Frecuencia Propia 1;Frecuencia Propia 2;Frecuencia Propia 3;Frecuencia Propia 4;Frecuencia Adimensional 1;Frecuencia Adimensional 2;Frecuencia Adimensional 3;Frecuencia Adimensional 4;Relacion de aspecto;Ca
8;0,35;12,42;36,0;3,17;10491,0;10,58;0,2;0,98;30,0;0,05;10,13;0,94;0,2;0,2;1,48;12,45;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,4107520085145673;3,8887922393783416;7,623587616711453;12,602174127394559;1666,6666666666667;648,8393866020987
9;1,08;13,09;38,0;3,36;11096,0;14,5;0,19;1,2;30,0;0,05;11,22;0,93;0,2;0,19;0,94;13,18;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,3326147576636087;3,6734038983505575;7,201340351142457;11,90417814006542;1666,6666666666667;728,949152542373
10;0,71;13,77;40,0;3,54;11701,0;15,48;0,19;1,16;30,0;0,05;13,1;0,98;0,2;0,19;1,19;13,85;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,2681489174011815;3,49570132709461;6,852972261953616;11,328308150618213;1666,6666666666667;809,1428571428573
11;0,61;14,44;42,0;3,72;12306,0;15,77;0,19;1,07;30,0;0,05;13,63;0,92;0,2;0,19;1,71;14,54;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,2079685354887457;3,329811786812954;6,527762436592682;10,790719937143209;1666,6666666666667;893,5205811138018
12;0,51;15,24;44,0;3,91;12911,0;17,54;0,2;1,08;30,0;0,05;14,68;0,9;0,19;0,2;1,84;15,13;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,1608633513553444;3,1999645327336648;6,273209902713654;10,369931783612838;1666,6666666666667;987,125100887813
13;0,65;15,87;46,0;4,09;13516,0;18,8;0,19;1,05;30,0;0,05;16,33;0,91;0,19;0,19;2,75;15,8;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,1116368674687571;3,0642698341936927;6,00719403975048;9,93019417000394;1666,6666666666667;1080,1033091202585
14;0,48;16,64;48,0;4,27;14121,0;21,04;0,19;1,08;30,0;0,05;17,56;0,9;0,19;0,19;2,95;16,49;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,0651220440270688;2,936049932095837;5,755831766407374;9,514679677747862;1666,6666666666667;1177,2655367231641
15;0,46;17,24;50,0;4,46;14726,0;22,78;0,19;1,07;30,0;0,05;20,15;0,95;0,19;0,19;3,58;17,22;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,0199687866438074;2,811583239271797;5,511827283859326;9,111327984091885;1666,6666666666667;1284,3648103309124
1;0,87;7,63;22,0;1,89;6257,0;3,95;0,2;1,03;30,0;0,0625;3,36;0,88;0,2;0,2;2,52;7,63;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;1,4732466584330373;4,061061148540842;7,961303555695525;13,160435576288316;2083,3333333333335;450,4766949152542
2;1,43;8,32;24,0;2,08;6862,0;5,16;0,2;1,12;30,0;0,0625;4,24;0,92;0,46;0,2;1,68;18,9;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,5947551324785225;1,639465426633155;3,214007731743749;5,312916584501579;2083,3333333333335;545,6012913640034
