91,613.59,0
8760,90.91,739.61,0
8771,90.91,643.76,0
8782,90.91,497.77,0
8795,76.92,446.95,0
8806,90.91,537.62,0
8817,90.91,683.72,0
8828,90.91,742.03,0
8840,83.33,645.81,0
8852,90.91,500.42,0
8863,83.33,445.83,0
8875,83.33,531.63,0
8886,90.91,679.97,0
8897,90.91,741.40,0
8908,90.91,647.86,0
8921,76.92,502.08,0
8932,90.91,448.18,0
8943,90.91,533.40,0
8954,90.91,678.54,0
8966,83.33,742.21,0
8977,90.91,652.37,0
8989,83.33,504.25,0
9000,90.91,446.33,0
9012,83.33,529.55,0
9023,90.91,674.35,0
9034,90.91,739.70,0
9046,83.33,652.86,0
9058,83.33,506.97,0
9069,90.91,449.39,0
9080,90.91,532.52,0
9092,83.33,674.80,0
9103,90.91,739.35,0
9114,90.91,655.07,0
9126,83.33,510.84,0
9138,83.33,446.45,0
9149,90.91,522.87,0
9160,90.91,670.19,0
9171,90.91,739.09,0
9183,83.33,656.56,0
9195,83.33,512.98,0
9206,90.91,450.41,0
9218,83.33,523.48,0
9229,90.91,668.49,0
9240,90.91,738.81,0
9252,90.91,656.71,0
9264,76.92,512.94,0
9275,90.91,449.34,0
9286,90.91,519.10,0
9297,90.91,663.76,0
9309,83.33,742.14,0
9321,83.33,662.04,0
9332,90.91,514.14,0
9344,83.33,449.83,0
9355,90.91,519.69,0
9366,90.91,662.54,0
9377,90.91,740.88,0
9390,76.92,664.87,0
9401,90.91,517.14,0
9412,90.91,448.20,0
9423,90.91,514.92,0
9435,83.33,658.82,0
9446,90.91,737.80,0
9458,83.33,668.03,0
9469,90.91,518.98,0
9481,83.33,447.42,0
9492,90.91,515.59,0
9503,90.91,659.72,0
9515,83.33,738.19,0
9527,83.33,667.63,0
9538,90.91,522.05,0
9549,90.91,449.21,0
9561,83.33,512.06,0
9572,90.91,660.13,0
9583,90.91,741.74,0
9595,83.33,672.11,0
9607,83.33,528.60,0
9618,90.91,450.53,0
9629,90.91,510.53,0
9640,90.91,654.27,0
9653,83.33,743.20,0
9664,83.33,673.33,0
9675,90.91,527.51,0
9687,83.33,451.76,0
9698,90.91,510.00,0
9709,90.91,650.24,0
9721,83.33,741.11,0
9733,83.33,676.76,0
9744,90.91,526.18,0
9755,90.91,448.32,0
9766,90.91,506.41,0
9778,83.33,646.73,0
9790,83.33,737.50,0
9801,90.91,678.84,0
9812,90.91,530.21,0
9824,83.33,449.23,0
9835,90.91,506.15,0
9846,90.91,649.40,0
9859,76.92,740.47,0
9870,90.91,682.68,0
9881,90.91,534.56,0
9892,90.91,447.56,0
9904,83.33,504.07,0
9915,90.91,647.18,0
9927,83.33,739.88,0
9938,90.91,682.74,0
9950,83.33,533.29,0
9961,90.91,447.41,0
9972,90.91,502.39,0
9984,83.33,645.19,0
9996,83.33,738.88,0
10007,90.91,684.71,0
10018,90.91,538.86,0
10030,83.33,451.58,0
10041,90.91,497.53,0
10053,90.91,641.65,0
10064,83.33,741.82,0
10076,83.33,689.73,0
10087,90.91,542.35,0
10098,90.91,451.78,0
10109,90.91,496.09,0
10122,76.92,634.36,0
10133,90.91,735.92,0
10144,90.91,689.14,0
10156,83.33,542.91,0
10167,90.91,448.78,0
10178,90.91,493.59,0
10190,83.33,633.35,0
10202,83.33,734.37,0
10213,90.91,689.96,0
10224,90.91,542.60,0
10235,90.91,448.00,0
10247,83.33,493.91,0
10259,83.33,635.25,0
10270,90.91,735.89,0
10281,90.91,691.83,0
10293,83.33,549.98,0
10304,90.91,455.00,0
10315,90.91,492.61,0
10328,76.92,633.10,0
10339,90.91,735.39,0
10350,90.91,691.12,0
10361,90.91,550.99,0
10373,83.33,453.60,0
10384,90.91,486.97,0
10396,83.33,629.31,0
10407,90.91,739.80,0
10419,83.33,698.50,0
10430,90.91,553.47,0
10441,90.91,454.77,0
10454,90.91,487.06,0
10465,76.92,623.26,0
10476,90.91,734.89,0
10487,90.91,703.45,0
10499,83.33,556.69,0
10510,90.91,454.75,0
10522,83.33,485.94,0
10533,90.91,622.75,0
10545,83.33,735.82,0
10556,90.91,705.55,0
10567,90.91,558.87,0
10578,90.91,452.60,0
10591,76.92,480.41,0
10602,90.91,617.04,0
10613,90.91,732.53,0
10625,83.33,704.81,0
10636,90.91,564.07,0
10647,90.91,455.67,0
10659,83.33,479.35,0
10671,83.33,613.29,0
10682,90.91,732.09,0
10693,90.91,707.66,0
10704,90.91,564.97,0
10716,83.33,455.33,0
10728,83.33,480.11,0
10739,90.91,613.38,0
10750,90.91,730.86,0
10762,83.33,710.36,0
10773,90.91,570.86,0
10784,90.91,458.24,0
10797,76.92,474.82,0
10808,90.91,606.55,0
10819,90.91,731.66,0
10830,90.91,715.40,0
10842,83.33,570.24,0
10854,90.91,454.90,0
10865,83.33,474.31,0
10876,90.91,606.47,0
10888,83.33,731.62,0
10899,90.91,716.18,0
10910,90.91,573.27,0
10923,90.91,456.30,0
10934,76.92,471.08,0
10945,90.91,599.82,0
10956,90.91,722.88,0
10968,83.33,713.87,0
10979,90.91,578.01,0
10991,83.33,457.81,0
11002,90.91,466.75,0
11014,83.33,599.52,0
11025,90.91,727.26,0
11036,90.91,717.10,0
11047,90.91,579.90,0
11060,76.92,462.21,0
11071,90.91,467.51,0
11082,90.91,596.44,0
11094,83.33,726.59,0
11105,90.91,723.41,0
11116,90.91,584.94,0
11128,83.33,464.10,0
11140,83.33,469.76,0
11151,90.91,593.47,0
11162,90.91,723.79,0
11173,90.91,724.78,0
