,-204.96,0
7286,90.91,-205.16,0
7298,83.33,-205.12,0
7309,90.91,-204.91,0
7321,90.91,-205.40,0
7332,83.33,-205.60,0
7344,83.33,-205.49,0
7355,90.91,-205.32,0
7366,90.91,-205.04,0
7377,90.91,-204.53,0
7390,76.92,-204.43,0
7401,90.91,-204.54,0
7412,90.91,-205.19,0
7424,83.33,-204.92,0
7435,90.91,-204.92,0
7446,90.91,-204.79,0
7458,83.33,-205.29,0
7470,83.33,-205.33,0
7481,90.91,-204.88,0
7492,90.91,-205.13,0
7503,90.91,-205.44,0
7515,83.33,-204.57,0
7527,83.33,-204.65,0
7538,90.91,-204.93,0
7549,90.91,-204.42,0
7561,83.33,-204.26,0
7572,90.91,-204.28,0
7584,90.91,-204.95,0
7596,76.92,-205.01,0
7607,90.91,-204.96,0
7618,90.91,-204.84,0
7629,90.91,-205.06,0
7641,83.33,-206.08,0
7653,83.33,-205.86,0
7664,90.91,-205.65,0
7675,90.91,-205.34,0
7687,83.33,-205.51,0
7698,90.91,-205.43,0
7709,90.91,-204.84,0
7721,83.33,-204.82,0
7733,83.33,-204.45,0
7744,90.91,-204.84,0
7755,90.91,-205.41,0
7767,83.33,-205.33,0
7779,90.91,-205.53,0
7790,83.33,-206.06,0
7801,90.91,-206.28,0
7813,83.33,-205.72,0
7824,90.91,-205.36,0
7835,90.91,-204.78,0
7847,83.33,-204.32,0
7859,83.33,-203.93,0
7870,90.91,-204.27,0
7881,90.91,-205.24,0
7892,90.91,-205.14,0
7904,83.33,-205.57,0
7916,83.33,-206.47,0
7927,90.91,-206.43,0
7939,83.33,-206.55,0
7950,90.91,-205.96,0
7961,90.91,-205.64,0
7972,90.91,-205.59,0
7985,76.92,-204.88,0
7996,90.91,-204.21,0
8007,90.91,-204.39,0
8018,90.91,-204.74,0
8030,83.33,-205.15,0
8042,83.33,-205.70,0
8053,90.91,-206.13,0
8065,83.33,-205.58,0
8076,90.91,-205.28,0
8087,90.91,-205.82,0
8098,90.91,-205.49,0
8111,76.92,-205.05,0
8122,90.91,-204.54,0
8133,90.91,-204.06,0
8144,90.91,-205.02,0
8156,83.33,-205.15,0
8167,90.91,-205.34,0
8179,83.33,-205.30,0
8190,90.91,-206.09,0
8202,83.33,-206.23,0
8213,90.91,-206.31,0
8224,90.91,-206.32,0
8237,83.33,-205.70,0
8248,83.33,-204.55,0
8259,90.91,-204.21,0
8270,90.91,-204.22,0
8282,83.33,-204.15,0
8293,90.91,-204.23,0
8305,83.33,-204.76,0
8316,90.91,-205.45,0
8328,83.33,-205.61,0
8339,90.91,-205.80,0
8350,90.91,-206.44,0
8361,90.91,-206.00,0
8374,76.92,-205.49,0
8385,90.91,-204.90,0
8396,90.91,-204.22,0
8408,83.33,-203.75,0
8419,90.91,-203.95,0
8430,90.91,-204.31,0
8442,83.33,-204.59,0
8454,83.33,-205.30,0
8465,90.91,-206.33,0
8476,90.91,-206.24,0
8487,90.91,-206.35,0
8500,83.33,-206.57,0
8511,83.33,-205.89,0
8522,90.91,-205.20,0
8534,83.33,-204.66,0
8545,90.91,-204.36,0
8556,90.91,-204.21,0
8568,83.33,-204.13,0
8580,83.33,-204.56,0
8591,90.91,-204.64,0
8602,90.91,-205.61,0
8613,90.91,-206.26,0
8625,83.33,-205.51,0
8637,83.33,-205.65,0
8648,90.91,-205.63,0
8659,90.91,-205.25,0
8671,83.33,-204.48,0
8682,90.91,-204.58,0
8694,90.91,-204.42,0
8706,76.92,-204.34,0
8717,90.91,-204.38,0
8728,90.91,-204.65,0
8739,90.91,-204.94,0
8751,83.33,-205.72,0
8763,83.33,-206.12,0
8774,90.91,-206.05,0
8785,90.91,-205.71,0
8797,83.33,-205.30,0
8808,90.91,-205.02,0
8819,90.91,-204.94,0
8832,76.92,-204.57,0
8843,90.91,-204.23,0
8854,90.91,-204.45,0
8865,90.91,-204.62,0
8877,83.33,-204.87,0
8888,90.91,-205.29,0
8900,83.33,-205.90,0
8911,90.91,-205.62,0
8923,83.33,-205.55,0
8934,90.91,-205.56,0
8945,90.91,-205.13,0
8957,83.33,-204.57,0
8969,83.33,-204.82,0
8980,90.91,-204.68,0
8991,90.91,-204.29,0
9003,83.33,-204.77,0
9014,90.91,-204.83,0
9026,83.33,-204.91,0
9037,90.91,-204.78,0
9049,83.33,-204.92,0
9060,90.91,-205.55,0
9071,90.91,-205.55,0
9082,90.91,-205.49,0
9095,76.92,-205.43,0
9106,90.91,-205.00,0
9117,90.91,-205.09,0
9128,90.91,-204.78,0
9140,83.33,-204.34,0
9152,90.91,-204.28,0
9163,83.33,-204.58,0
9175,83.33,-204.89,0
9186,90.91,-204.81,0
9197,90.91,-205.18,0
9208,90.91,-205.89,0
9221,76.92,-206.47,0
9232,90.91,-206.52,0
9243,90.91,-205.82,0
9254,90.91,-205.03,0
9266,83.33,-204.91,0
9277,90.91,-205.00,0
9289,83.33,-204.47,0
9300,90.91,-204.36,0
9312,83.33,-203.95,0
9323,90.91,-204.98,0
9334,90.91,-205.39,0
9346,83.33,-205.89,0
9358,83.33,-206.22,0
9369,90.91,-206.19,0
9380,90.91,-206.01,0
9392,83.33,-205.80,0
9403,90.91,-204.63,0
9415,83.33,-204.60,0
9426,90.91,-204.95,0
9438,83.33,-203.98,0
9449,90.91,-204.07,0
9460,90.91,-203.91,0
9472,83.33,-204.41,0
9484,83.33,-205.57,0
9495,90.91,-205.33,0
9506,90.91,-205.74,0
9518,83.33,-205.71,0
9529,90.91,-205.68,0
9540,90.91,-205.62,0
9552,83.33,-204.57,0
9564,83.33,-203.73,0
9575,90.91,-204.24,0
9586,90.91,-204.20,0
9597,90.91,-204.14,0
9610,83.33,-204.18,0
9621,83.33,-204.94,0
9632,90.91,-205.64,0
9644,83.33,-206.22,0
9655,90.91,-206.67,0
9666,90.91,-206.87,0
9678,83.33,-206.40,0
9690,83.33,-205.67,0
9701,90.91,-204.59,0
9712,90.91,-203.77,0
9723,90.91,-203.27,0
9735,83.33,-203.21,0
9747,83.33,-204.27,0
9758,90.91,-204.56,0
9769,90.91,-205.50,0
9781,83.33,-206.70,0
9792,90.91,-206.90,0
9803,90.91,-206.54,0
9816,76.92,-205.59,0
9827,90.91,-205.25,0
9838,90.91,-204.36,0
9849,90.91,-203.98,0
9861,83.33,-203.34,0
9873,90.91,-203.07,0
9884,83.33,-204.06,0
9895,90.91,-204.81,0
9907,83.33,-205.55,0
9918,90.91,-206.20,0
9929,90.91,-206.36,0
9942,76.92,-206.24,0
9953,90.91,-205.81,0
9964,90.91,-205.51,0
9975,90.91,-204.71,0
9987,83.33,-204.81,0
9998,90.91,-203.94,0
10010,83.33,-203.88,0
10021,90.91,-204.23,0
10033,83.33,-205.28,0
10044,90.91,-205.83,0
10055,90.91,-205.97,0
10066,90.91,-205.79,0
10079,76.92,-206.08,0
10090,90.91,-205.54,0
10101,90.91,-205.91,0
10113,83.33,-205.01,0
10124,90.91,-204.84,0
10136,90.91,-204.57,0
10147,83.33,-204.37,0
10159,83.33,-204.14,0
10170,90.91,-205.13,0
10181,90.91,-205.51,0
10192,90.91,-206.29,0
10205,76.92,-206.24,0
10216,90.91,-206.38,0
10227,90.91,-205.99,0
10238,90.91,-205.42,0
10250,83.33,-204.81,0
10261,90.91,-203.95,0
10273,83.33,-203.12,0
10285,83.33,-203.90,0
10296,90.91,-204.59,0
10307,90.91,-204.87,0
10318,90.91,-205.01,0
10330,83.33,-205.56,0
10342,83.33,-205.90,0
10353,90.91,-206.11,0
10364,90.91,-205.93,0
10376,83.33,-205.43,0
10387,90.91,-204.95,0
10399,90.91,-204.70,0
10411,83.33,-204.38,0
10422,90.91,-203.92,0
10433,90.91,-203.84,0
10444,90.91,-203.86,0
10456,83.33,-204.49,0
10468,83.33,-204.75,0
10479,90.91,-205.48,0
10490,90.91,-205.98,0
10502,83.33,-205.72,0
10513,90.91,-205.38,0
10524,90.91,-205.30,0
10536,83.33,-204.76,0
10548,83.33,-204.49,0
10559,90.91,-204.12,0
10570,90.91,-203.44,0
10582,83.33,-204.40,0
10594,90.91,-205.16,0
10605,83.33,-205.44,0
10616,90.91,-205.52,0
10628,83.33,-205.67,0
10639,90.91,-205.90,0
10650,90.91,-206.13,0
10662,83.33,-205.84,0
10674,83.33,-205.21,0
10685,90.91,-205.59,0
10696,90.91,-204.81,0
10707,90.91,-204.72,0
10719,83.33,-204.51,0
10731,83.33,-204.76,0
10742,90.91,-204.94,0
10754,83.33,-205.16,0
10765,90.91,-205.72,0
10776,90.91,-205.93,0
10787,90.91,-205.61,0
10800,76.92,-205.48,0
10811,90.91,-205.13,0
10822,90.91,-205.03,0
10833,90.91,-205.14,0
10845,83.33,-204.44,0
10857,90.91,-204.62,0
10868,83.33,-204.21,0
10880,83.33,-204.07,0
10891,90.91,-204.29,0
10902,90.91,-204.99,0
10913,90.91,-205.79,0
10926,76.92,-206.01,0
10937,90.91,-206.44,0
10948,90.91,-206.30,0
10959,90.91,-205.63,0
10971,83.33,-205.40,0
10982,90.91,-205.11,0
10994,83.33,-205.23,0
11005,90.91,-204.67,0
11017,83.33,-204.39,0
11028,90.91,-204.23,0
11039,90.91,-204.38,0
11051,83.33,-204.93,0
11063,83.33,-205.32,0
11074,90.91,-206.44,0
11085,90.91,-207.07,0
11097,83.33,-205.82,0
11108,90.91,-205.54,0
11120,90.91,-205.37,0
11131,83.33,-204.77,0
11143,83.33,-204.55,0
11154,90.91,-204.23,0
11165,90.91,-204.05,0
11176,90.91,-203.84,0
11189,76.92,-204.54,0
11200,90.91,-205.30,0
11211,90.91,-206.01,0
11223,83.33,-206.09,0
11234,90.91,-206.31,0
11245,90.91,-206.46,0
11257,83.33,-206.05,0
11269,83.33,-205.76,0
11280,90.91,-205.03,0
11291,90.91,-204.46,0
11302,90.91,-204.64,0
11314,83.33,-204.16,0
11326,83.33,-204.91,0
11337,90.91,-204.88,0
11348,90.91,-205.13,0
11360,83.33,-206.28,0
11371,90.91,-206.36,0
11383,90.91,-205.86,0
11395,83.33,-205.63,0
11406,90.91,-205.43,0
11417,90.91,-205.05,0
11428,90.91,-204.64,0
11440,83.33,-203.91,0
11452,83.33,-204.37,0
11463,90.91,-204.23,0
11474,90.91,-204.76,0
11486,83.33,-205.28,0
11497,90.91,-205.87,0
11508,90.91,-206.35,0
11521,76.92,-206.04,0
11532,90.91,-206.13,0
